gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,salary
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,07/14/1997,1997,73801.0
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,09/04/2001,2001,118930.0
F,HHS,Department of Health and Human Services,Chief Operating Officer,Fulltime-Regular,Manager I,07/09/2007,2007,146258.77
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,12/10/2007,2007,60515.7
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,11/20/1989,1989,26208.35
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,04/27/1997,1997,70422.0
F,CEX,Offices of the County Executive,Chief Administrative Officer's Office,Fulltime-Regular,Public Administration Associate,06/02/2014,2014,57921.39
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006,68015.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,01/31/2011,2011,37838.73
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005,77434.0
M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
F,LIB,Department of Public Libraries,Aspen Hill Library,Fulltime-Regular,Library Associate,12/10/2001,2001,69785.49
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Master Firefighter/Rescuer,08/17/1998,1998,88859.0
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,09/18/1995,1995,96763.35
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Public Service Craftsworker,10/25/1998,1998,61888.87
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Driver/Clerk,10/13/2008,2008,40885.13
M,POL,Department of Police,FSB Special Operations Division Canine Section,Fulltime-Regular,Police Officer III,07/17/2006,2006,72902.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/25/2013,2013,43525.72
F,COR,Correction and Rehabilitation,MSD Fiscal Services,Fulltime-Regular,Fiscal Assistant,06/03/2013,2013,57552.08
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Administrative Specialist II,06/20/1988,1988,81824.52
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),08/11/2014,2014,49831.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/08/2013,2013,43525.72
M,POL,Department of Police,PSB 2nd District Special Assignment Team,Fulltime-Regular,Police Officer III,07/16/2007,2007,70435.0
M,SHF,Sheriff's Office,Child Support,Fulltime-Regular,Deputy Sheriff III,07/17/2000,2000,85405.0
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,01/16/2007,2007,80829.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,07/18/2005,2005,103506.0
M,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Lieutenant,05/23/1986,1986,123902.96
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,12/17/2007,2007,72967.98
M,DPS,Department of Permitting Services,Team 2 Residential Inspection,Fulltime-Regular,Program Manager II,03/09/2015,2015,77027.04
F,CAT,County Attorney's Office,Finance and Procurement,Fulltime-Regular,Paralegal Specialist,03/08/1999,1999,86708.62
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Firefighter/Rescuer III,06/13/1988,1988,86537.84
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Master Firefighter/Rescuer,10/09/2006,2006,83516.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/20/2014,2014,39351.09
M,POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Master Police Officer,07/06/1992,1992,97392.47
F,CEC,Community Engagement Cluster,Silver Spring Urban District,Fulltime-Regular,Public Service Worker II,05/07/2012,2012,35411.29
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,01/18/2005,2005,87148.0
F,HCA,Department of Housing and Community Affairs,Management Services,Fulltime-Regular,Administrative Specialist III,10/21/2013,2013,83033.41
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/04/2008,2008,86910.51
M,DHS,Office of Emergency Management and Homeland Security,Operations and Training,Fulltime-Regular,Emergency Management Specialist II,05/31/2016,2016,85425.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014,42053.42
F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Program Manager II,04/23/1979,1979,102664.0
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
F,FRS,Fire and Rescue Services,Training,Fulltime-Regular,Community Health Nurse II,04/18/2005,2005,97912.0
F,DOT,Department of Transportation,Transportation System Engineering,Fulltime-Regular,Engineer Technician II,03/30/1998,1998,73801.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,01/14/2008,2008,68054.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,01/28/2013,2013,58455.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/09/2004,2004,69744.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,06/13/2005,2005,87773.59
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Master Firefighter/Rescuer,02/11/2002,2002,90904.0
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,06/25/1990,1990,107128.71
M,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,11/30/2015,2015,69691.73
M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Lieutenant,11/17/1997,1997,106456.0
F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer I,06/01/2015,2015,51969.0
M,POL,Department of Police,MSB Information Management and Technology DivisioinCrime Analysis Section,Fulltime-Regular,Crime Analyst,09/21/1987,1987,83497.98
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/07/2013,2013,45049.12
F,DTS,Department of Technology Services,ETSD Network Services,Fulltime-Regular,Program Manager II,01/21/1986,1986,102664.0
M,DLC,Department of Liquor Control,Cloverly,Parttime-Regular,Liquor Store Clerk I,04/08/2015,2015,28772.07
F,LIB,Department of Public Libraries,Quince Orchard Library,Parttime-Regular,Library Associate II,01/08/1996,1996,39750.3
M,FRS,Fire and Rescue Services,Station 17,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005,77434.0
F,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Public Administration Associate,05/18/2015,2015,42367.37
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011,65752.0
M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,07/28/2014,2014,29779.09
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Program Manager I,07/28/1997,1997,93396.0
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,10/20/2003,2003,73801.0
M,REC,Department of Recreation,Long Branch Community Recreation Center,Fulltime-Regular,Recreation Specialist,09/23/1980,1980,87523.22
M,DLC,Department of Liquor Control,White Oak,Parttime-Regular,Liquor Store Clerk I,11/07/2012,2012,29779.06
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Autobody Repairer,07/09/2007,2007,50863.92
M,REC,Department of Recreation,Countywide Programs Therapeutics,Fulltime-Regular,Recreation Specialist,01/09/1995,1995,87523.22
M,DPS,Department of Permitting Services,Land Development Permit Processing,Fulltime-Regular,Permit Technician III,09/28/1992,1992,79663.29
F,HCA,Department of Housing and Community Affairs,Community Development Neighborhood Revitalization,Fulltime-Regular,Senior Planning Specialist,11/13/1989,1989,99564.45
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/14/2011,2011,43525.72
F,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,03/30/2009,2009,69787.05
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,02/22/2016,2016,39257.31
M,POL,Department of Police,FSB Traffic Division Collision Reconstruction,Fulltime-Regular,Police Officer III,07/19/2004,2004,78096.0
F,CAT,County Attorney's Office,Finance and Procurement,Parttime-Regular,Office Clerk,09/09/2013,2013,17269.0
M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector II,01/26/2015,2015,46504.09
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,01/19/2010,2010,65427.63
F,HHS,Department of Health and Human Services,Access to Behavioral Health Services,Fulltime-Regular,Therapist II,03/20/2000,2000,97912.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),08/09/1993,1993,94277.96
M,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Fire/Rescue Battalion Chief,02/26/1990,1990,140049.75
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer II (PFC),01/12/2015,2015,48145.0
M,SHF,Sheriff's Office,Courthouse Security,Fulltime-Regular,Deputy Sheriff III,07/21/2003,2003,77029.0
M,POL,Department of Police,Field Services Bureau,Fulltime-Regular,Police Sergeant,07/06/1992,1992,107128.71
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),04/18/2003,2003,45852.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/07/2006,2006,41953.24
F,OHR,Office of Human Resources,Occupational Medical Services Team,Fulltime-Regular,Administrative Specialist I,02/05/2007,2007,72269.66
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/27/2012,2012,43525.72
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012,60501.0
M,DLC,Department of Liquor Control,Purchasing,Fulltime-Regular,Alcohol Beverage Purchasing Specialist,08/22/1988,1988,76015.03
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,04/23/1990,1990,99870.24
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,12/02/2013,2013,54797.84
F,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Office Services Coordinator,05/31/2005,2005,56843.28
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/02/2010,2010,37838.73
M,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,09/03/1991,1991,54022.26
F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Manager III,03/12/1984,1984,135392.0
F,HHS,Department of Health and Human Services,Social Services Officer,Fulltime-Regular,Program Manager - Sr II,03/18/2015,2015,47985.0
M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,02/09/2015,2015,47693.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Executive Administrative Aide,09/06/1994,1994,71830.44
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,01/09/1996,1996,66065.23
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,01/16/2006,2006,67126.0
M,POL,Department of Police,FSB Security Services Division,Fulltime-Regular,Security Officer I,09/07/2004,2004,57103.49
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Fire/Rescue Lieutenant,07/27/1981,1981,106754.6
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/10/2004,2004,55122.12
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,03/12/2001,2001,89620.0
F,LIB,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Library Aide,05/21/2005,2005,18246.95
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Services Supervisor,05/21/1984,1984,78889.86
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,03/23/2003,2003,19728.85
M,HCA,Department of Housing and Community Affairs,Multi-Family Housing Program,Fulltime-Regular,Manager III,09/02/2008,2008,135392.0
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013,52693.0
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer III,06/13/1994,1994,92756.7
F,SHF,Sheriff's Office,Administration,Fulltime-Regular,Assistant Sheriff,06/21/1978,1978,148310.87
F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist II,01/13/2014,2014,55191.54
M,DLC,Department of Liquor Control,IT Administration,Fulltime-Regular,Senior Information Technology Specialist,07/05/2006,2006,105338.48
M,DLC,Department of Liquor Control,Darnestown,Parttime-Regular,Liquor Store Clerk I,09/16/2013,2013,29779.06
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,06/26/1989,1989,91751.37
M,DOT,Department of Transportation,Traffic Engineering Studies Section,Fulltime-Regular,Senior Engineer Technician,08/08/2005,2005,83570.17
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,02/24/2014,2014,61725.0
F,HHS,Department of Health and Human Services,Abused Persons Program,Fulltime-Regular,Client Assistance Specialist,05/29/2001,2001,72686.46
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Autobody Repairer,01/13/2014,2014,58729.79
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,54568.0
F,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Office Services Coordinator,05/15/2006,2006,57773.8
F,HHS,Department of Health and Human Services,STD and HIV Services,Fulltime-Regular,Program Specialist II,05/11/1992,1992,87523.22
M,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,11/05/2001,2001,89472.5
M,DLC,Department of Liquor Control,Hampden Lane,Fulltime-Regular,Liquor Store Clerk II,11/21/2010,2010,40946.23
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer II,09/03/2002,2002,74333.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Sergeant,02/06/1995,1995,107128.71
M,CEC,Community Engagement Cluster,Wheaton Urban District,Fulltime-Regular,Program Manager II,01/27/1992,1992,104717.28
F,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Program Manager I,07/01/1986,1986,95263.92
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Public Safety Communications Specialist II,01/26/2015,2015,44694.45
M,DPS,Department of Permitting Services,Site Plan Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector II,08/07/2006,2006,84974.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,01/23/2008,2008,76529.51
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/27/2006,2006,52233.06
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/18/1996,1996,66065.23
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Child Welfare Caseworker,01/03/1995,1995,96197.88
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,04/05/2004,2004,93396.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,08/08/2016,2016,39257.0
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Program Manager II,03/05/2007,2007,100009.77
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Sergeant,08/19/1996,1996,107128.71
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Services Assistant,06/18/2001,2001,61860.6
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,05/14/1994,1994,73801.0
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Sergeant,09/18/1995,1995,107128.71
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Supervisor (Sergeant),07/20/1987,1987,94277.96
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,01/14/2008,2008,65752.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/06/1997,1997,25445.0
M,FIN,Department of Finance,Payroll,Fulltime-Regular,Program Manager II,10/20/2014,2014,102664.0
M,FRS,Fire and Rescue Services,Station 19,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,12/14/2015,2015,40631.32
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Supervisory Therapist,05/05/2003,2003,98507.48
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006,68015.0
F,FIN,Department of Finance,Accounts Receivable,Fulltime-Regular,Office Services Coordinator,07/10/2006,2006,67206.0
M,POL,Department of Police,ISB Criminal Investigations Division 3rd District Investigative Section,Fulltime-Regular,Police Officer III,06/11/2007,2007,70435.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,07/14/2008,2008,46626.08
M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,05/16/2005,2005,70396.0
M,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,10/14/2002,2002,97912.0
M,DPS,Department of Permitting Services,Land Development Sediment and Stormwater Inspection,Fulltime-Regular,Permitting and Code Enforcement Inspector I,08/08/2016,2016,56300.0
F,HHS,Department of Health and Human Services,Home Energy Assistance Program,Fulltime-Regular,Principal Administrative Aide,05/02/2016,2016,36180.0
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,06/08/1998,1998,94099.0
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,01/26/2015,2015,49068.0
F,CEX,Offices of the County Executive,County Executive's Office,Fulltime-Regular,Administrative Assistant to the County Executive,10/01/2007,2007,89079.0
M,HHS,Department of Health and Human Services,Community Action Agency,Fulltime-Regular,Office Services Coordinator,01/16/2007,2007,64184.58
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,02/24/2014,2014,56478.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,04/30/2007,2007,46325.18
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/02/1997,1997,64141.0
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,06/02/2014,2014,52563.37
M,POL,Department of Police,ISB Major Crimes Division Robbery Section,Fulltime-Regular,Police Officer III,12/16/2002,2002,75453.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,10/16/2006,2006,78708.7
F,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,09/04/1990,1990,100849.36
F,HCA,Department of Housing and Community Affairs,Housing Landlord and Tenant Mediation,Fulltime-Regular,Investigator III,03/20/1995,1995,93127.75
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,01/30/2006,2006,68015.0
M,POL,Department of Police,MSB Training and Education Division,Fulltime-Regular,Police Lieutenant,06/13/1994,1994,123902.96
F,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,03/11/2013,2013,63004.38
M,COR,Correction and Rehabilitation,PTS Supervision,Fulltime-Regular,Correctional Specialist III,01/20/1998,1998,95001.52
M,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Outreach Manager,10/17/2005,2005,118400.0
F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Administrative Specialist II,10/13/2008,2008,77875.24
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,07/06/2009,2009,62958.95
F,COR,Correction and Rehabilitation,PTS Pre-Trial Services,Fulltime-Regular,Program Aide,09/25/2000,2000,59925.06
M,DTS,Department of Technology Services,Enterprise Information Security Office,Fulltime-Regular,Senior Information Technology Specialist,03/07/2005,2005,118400.0
M,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Deputy Sheriff III,02/06/2006,2006,67126.0
M,OCP,Office of Consumer Protection,Director,Fulltime-Regular,Executive Administrative Aide,09/22/2008,2008,49104.51
F,FRS,Fire and Rescue Services,Station 6,Fulltime-Regular,Firefighter/Rescuer III,02/20/2001,2001,80784.0
M,LIB,Department of Public Libraries,Technology Management,Fulltime-Regular,Information Technology Specialist III,02/21/1989,1989,110886.71
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,08/31/1998,1998,89620.0
M,DPS,Department of Permitting Services,Site Plan Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector III,02/22/2000,2000,89891.03
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Master Firefighter/Rescuer,03/27/2006,2006,74815.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,05/20/1985,1985,75277.02
M,DOT,Department of Transportation,Transit Commuter Services,Fulltime-Regular,Planning Specialist III,07/21/1997,1997,93396.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,01/24/2000,2000,88189.17
M,DPS,Department of Permitting Services,Site Plan Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector II,10/18/2004,2004,71216.52
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,55889.73
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/18/2016,2016,33395.15
F,DTS,Department of Technology Services,Franchise Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector II,08/16/2010,2010,68971.62
F,HHS,Department of Health and Human Services,Adult Behavioral Health Services,Fulltime-Regular,Medical Doctor III - Psychiatrist,01/29/2001,2001,190429.0
F,BOE,Board of Elections,Registration Services,Fulltime-Regular,Office Services Coordinator,12/15/2003,2003,52081.11
M,FRS,Fire and Rescue Services,Station 10,Fulltime-Regular,Firefighter/Rescuer III,07/29/2013,2013,57365.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,02/19/2008,2008,36797.11
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Fire/Rescue Captain,02/20/2001,2001,114303.0
M,FRS,Fire and Rescue Services,Station 18,Fulltime-Regular,Firefighter/Rescuer III,02/08/1999,1999,80784.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,06/16/2014,2014,60403.27
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Sergeant,07/06/1992,1992,107128.71
F,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permit Technician II,03/09/1998,1998,70422.0
M,FRS,Fire and Rescue Services,First Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,08/27/1990,1990,131348.75
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,05/07/2012,2012,54402.73
F,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,11/21/2010,2010,29779.07
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/14/1999,1999,64141.0
F,COR,Correction and Rehabilitation,MSD Training and Staff Development,Fulltime-Regular,Administrative Specialist III,02/06/1995,1995,96197.88
F,OLO,Office of Legislative Oversight,Legislative Oversight Staff,Fulltime-Regular,Legislative Analyst II,07/16/2012,2012,77649.51
F,FRS,Fire and Rescue Services,Fleet Support,Fulltime-Regular,Administrative Specialist I,05/25/1988,1988,76015.03
F,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Income Assistance Program Specialist II,02/02/2009,2009,61463.39
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Master Police Officer,04/12/1999,1999,94099.0
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer II,07/29/2013,2013,52693.0
F,POL,Department of Police,Management Services Bureau,Fulltime-Regular,Executive Administrative Aide,05/14/2001,2001,70422.0
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,03/19/2007,2007,79676.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),11/23/1987,1987,103708.64
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator II,11/16/2003,2003,55820.61
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/26/2015,2015,38020.38
M,DEP,Department of Environmental Protection,Watershed Restoration and Capital Projects,Fulltime-Regular,Manager III,01/18/2000,2000,116282.95
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,07/24/2006,2006,66358.15
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Officer III,07/18/2005,2005,78096.0
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Administrative Specialist II,06/28/2004,2004,74779.89
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,08/15/2011,2011,18416.05
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Master Firefighter/Rescuer,03/19/2007,2007,79676.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer I (Private),08/08/2016,2016,44300.0
M,FRS,Fire and Rescue Services,Scheduling,Fulltime-Regular,Master Firefighter/Rescuer,06/16/1988,1988,97224.98
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Manager III,04/07/1997,1997,105360.22
